Membership No  Date Joined  Active  
    37203      2018-3-5     yes   
    29477      2017-5-11    yes   
    86766      2019-1-6     yes   
    55084      2017-4-11    yes   
    86231      2019-8-5     yes   
    70523      2020-5-3     yes   
    73262      2020-12-24   yes   
    76922      2018-8-16    yes   
    71770      2019-5-19    yes   
    74860      2016-4-8     yes   
    17199      2019-2-6     yes   
    29098      2020-11-8    yes   
    88096      2018-1-9     yes   
    22848      2016-8-5     yes   
